CRESPY LE NEUF;10500
DIENVILLE;10500
EPAGNE;10500
EPOTHEMONT;10500
HAMPIGNY;10500
JUZANVIGNY;10500
LASSICOURT;10500
LESMONT;10500
MAIZIERES LES BRIENNE;10500
MATHAUX;10500
MOLINS SUR AUBE;10500
MORVILLIERS;10500
PEL ET DER;10500
PERTHES LES BRIENNE;10500
PETIT MESNIL;10500
PRECY NOTRE DAME;10500
PRECY ST MARTIN;10500
RADONVILLIERS;10500
RANCES;10500
ROSNAY L HOPITAL;10500
LA ROTHIERE;10500
ST CHRISTOPHE DODINICOURT;10500
ST LEGER SOUS BRIENNE;10500
VALLENTIGNY;10500
LA VILLE AUX BOIS;10500
YEVRES LE PETIT;10500
CHATRES;10510
MAIZIERES LA GRANDE PAROISSE;10510
MAIZIERES LA GRANDE PAROISSE;10510
ORIGNY LE SEC;10510
BARBEREY ST SULPICE;10600
LA CHAPELLE ST LUC;10600
MERGEY;10600
PAYNS;10600
SAVIERES;10600
VILLACERF;10600
ALLIBAUDIERES;10700
ARCIS SUR AUBE;10700
CHAMPFLEURY;10700
CHAMPIGNY SUR AUBE;10700
CHAPELLE VALLON;10700
LE CHENE;10700
DOSNON;10700
GRANDVILLE;10700
HERBISSE;10700
LHUITRE;10700
MESNIL LA COMTESSE;10700
NOZAY;10700
ORMES;10700
ORTILLON;10700
POIVRES;10700
POUAN LES VALLEES;10700
ST ETIENNE SOUS BARBUISE;10700
ST NABORD SUR AUBE;10700
ST REMY SOUS BARBUISE;10700
SALON;10700
SEMOINE;10700
TORCY LE GRAND;10700
TORCY LE PETIT;10700
TROUANS;10700
TROUANS;10700
VAUPOISSON;10700
VILLETTE SUR AUBE;10700
VILLIERS HERBISSE;10700
VINETS;10700
LES BORDES AUMONT;10800
BUCHERES;10800
BUCHERES;10800
CORMOST;10800
ISLE AUMONT;10800
MOUSSEY;10800
ROUILLY ST LOUP;10800
ROUILLY ST LOUP;10800
ST JULIEN LES VILLAS;10800
ST LEGER PRES TROYES;10800
ST THIBAULT;10800
LA VENDUE MIGNOT;10800
VILLEMEREUIL;10800
VILLY LE BOIS;10800
VILLY LE MARECHAL;10800
BERRIAC;11000
CARCASSONNE;11000
CARCASSONNE;11000
CARCASSONNE;11000
CARCASSONNE;11000
CARCASSONNE;11000
CARCASSONNE;11000
BAGES;11100
MONTREDON DES CORBIERES;11100
NARBONNE;11100
NARBONNE;11100
ARMISSAN;11110
COURSAN;11110
SALLES D AUDE;11110
VINASSAN;11110
ARGELIERS;11120
BIZE MINERVOIS;11120
GINESTAS;11120
MAILHAC;11120
MARCORIGNAN;11120
MIREPEISSET;11120
MOUSSAN;11120
POUZOLS MINERVOIS;11120
ST MARCEL SUR AUDE;11120
ST NAZAIRE D AUDE;11120
STE VALIERE;11120
VENTENAC EN MINERVOIS;11120
SIGEAN;11130
ARTIGUES;11140
AUNAT;11140
AXAT;11140
BELFORT SUR REBENTY;11140
BESSEDE DE SAULT;11140
LE BOUSQUET;11140
CAILLA;11140
CAMPAGNA DE SAULT;11140
LE CLAT;11140
COUNOZOULS;11140
ESCOULOUBRE;11140
LA FAJOLLE;11140
FONTANES DE SAULT;11140
GALINAGUES;11140
GINCLA;11140
JOUCOU;11140
MARSA;11140
MAZUBY;11140
MERIAL;11140
MONTFORT SUR BOULZANE;11140
NIORT DE SAULT;11140
PUILAURENS;11140
PUILAURENS;11140
RODOME;11140
ROQUEFORT DE SAULT;11140
STE COLOMBE SUR GUETTE;11140
SALVEZINES;11140
BRAM;11150
PEXIORA;11150
VILLASAVARY;11150
VILLEPINTE;11150
VILLESISCLE;11150
CABRESPINE;11160
CASTANS;11160
CAUNES MINERVOIS;11160
CITOU;11160
LESPINASSIERE;11160
PEYRIAC MINERVOIS;11160
RIEUX MINERVOIS;11160
TRASSANEL;11160
TRAUSSE;11160
VILLENEUVE MINERVOIS;11160
ALZONNE;11170
CARLIPA;11170
CAUX ET SAUZENS;11170
CENNE MONESTIES;11170
MONTOLIEU;11170
MOUSSOULENS;11170
PEZENS;11170
RAISSAC SUR LAMPY;11170
STE EULALIE;11170
ST MARTIN LE VIEIL;11170
VILLESEQUELANDE;11170
VILLESPY;11170
ANTUGNAC;11190
ARQUES;11190
BUGARACH;11190
CAMPS SUR L AGLY;11190
CASSAIGNES;11190
COUIZA;11190
COUSTAUSSA;11190
CUBIERES SUR CINOBLE;11190
FOURTOU;11190
LUC SUR AUDE;11190
MONTAZELS;11190
PEYROLLES;11190
RENNES LE CHATEAU;11190
RENNES LES BAINS;11190
ROQUETAILLADE ET CONILHAC;11190
LA SERPENT;11190
SERRES;11190
SOUGRAIGNE;11190
ARGENS MINERVOIS;11200
BIZANET;11200
BOUTENAC;11200
CAMPLONG D AUDE;11200
CANET;11200
CONILHAC CORBIERES;11200
CRUSCADES;11200
ESCALES;11200
FABREZAN;11200
FERRALS LES CORBIERES;11200
HOMPS;11200
LEZIGNAN CORBIERES;11200
LUC SUR ORBIEU;11200
MONTSERET;11200
NEVIAN;11200
ORNAISONS;11200
PARAZA;11200
RAISSAC D AUDE;11200
ROUBIA;11200
ST ANDRE DE ROQUELONGUE;11200
THEZAN DES CORBIERES;11200
TOUROUZELLE;11200
VILLEDAIGNE;11200
PORT LA NOUVELLE;11210
ARQUETTES EN VAL;11220
CAUNETTES EN VAL;11220
COUSTOUGE;11220
FAJAC EN VAL;11220
JONQUIERES;11220
LABASTIDE EN VAL;11220
LAGRASSE;11220
MAYRONNES;11220
VAL DE DAGNE;11220
VAL DE DAGNE;11220
